id,degree,title,degreetitle,level
2944,BTech,Computer Science,BTech Computer Science,6
2945,MSc/MS,Computer Science,MSc/MS Computer Science,7
2946,BSc/BS,Information Technology,BSc/BS Information Technology,6
2947,BSc/BS,Computer Science,BSc/BS Computer Science,6
2948,BSc/BS,Computer Science,BSc/BS Computer Science,6
2949,MSc/MS,Computer Science,MSc/MS Computer Science,7
2949,BSc/BS,Computer Science,BSc/BS Computer Science,6
2950,BSc/BS,Computer Science,BSc/BS Computer Science,6
2951,BE/Beng,Computer Science,BE/Beng Computer Science,6
2952,BSc/BS,Information Technology,BSc/BS Information Technology,6
2953,BSc/BS,Computer Science,BSc/BS Computer Science,6
2954,BSc/BS,Physics,BSc/BS Physics,6
2954,PhD,Physics,PhD Physics,8
2955,BSc/BS,Computer Science,BSc/BS Computer Science,6
2955,MSc/MS,Computer Science,MSc/MS Computer Science,7
2956,MSc/MS,Computer Science,MSc/MS Computer Science,7
2956,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
2957,MSc/MS,Computer Science,MSc/MS Computer Science,7
2958,BSc/BS,Computer Science,BSc/BS Computer Science,6
2959,BTech,Computer Science and Engineering,BTech Computer Science and Engineering,6
2960,MSc/MS,Software Engineering,MSc/MS Software Engineering,7
2960,BSc/BS,Computer Science,BSc/BS Computer Science,6
2961,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
2962,BSc/BS,Computer Science,BSc/BS Computer Science,6
2963,MSc/MS,Computer Science,MSc/MS Computer Science,7
2963,BSc/BS,Computer Science,BSc/BS Computer Science,6
2964,MCA,/,MCA /,7
2965,BSc/BS,Computer Science,BSc/BS Computer Science,6
2966,BSc/BS,Information Technology,BSc/BS Information Technology,6
2967,BTech,Information Technology,BTech Information Technology,6
2968,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
2969,BSc/BS,Computer Science,BSc/BS Computer Science,6
2970,BSc/BS,Computer Science,BSc/BS Computer Science,6
2971,BE/Beng,Computer Science,BE/Beng Computer Science,6
2972,BSc/BS,Computer Science,BSc/BS Computer Science,6
2973,BSc/BS,Computer Science,BSc/BS Computer Science,6
2974,MSc/MS,Computer Science,MSc/MS Computer Science,7
2975,BSc/BS,Computer Science,BSc/BS Computer Science,6
2975,BSc/BS,Computer Science,BSc/BS Computer Science,6
2976,BA,Psychology,BA Psychology,6
2977,BSc/BS,Information Technology,BSc/BS Information Technology,6
2978,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
2979,BE/Beng,Computer Science,BE/Beng Computer Science,6
2980,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
2981,BSc/BS,Computer Science,BSc/BS Computer Science,6
2982,BSc/BS,Computer Science,BSc/BS Computer Science,6
2983,BSc/BS,Computer Science,BSc/BS Computer Science,6
2984,BSc/BS,Computer Science,BSc/BS Computer Science,6
2985,MSc/MS,Computer Science,MSc/MS Computer Science,7
2986,BSc/BS,Information Technology,BSc/BS Information Technology,6
2987,BE/Beng,Computer Science,BE/Beng Computer Science,6
2988,BSc/BS,Information Technology,BSc/BS Information Technology,6
2989,BSc/BS,Computer Science,BSc/BS Computer Science,6
2990,BSc/BS,Computer Science,BSc/BS Computer Science,6
2991,BSc/BS,Information Technology,BSc/BS Information Technology,6
2992,BSc/BS,Computer Science,BSc/BS Computer Science,6
2993,MSc/MS,Computer Science,MSc/MS Computer Science,7
2994,MSc/MS,Software Engineering,MSc/MS Software Engineering,7
2995,MCA,/,MCA /,7
2995,BSc/BS,Mathematics,BSc/BS Mathematics,6
2996,BSc/BS,Computer Science,BSc/BS Computer Science,6
2997,BSc/BS,Computer Science,BSc/BS Computer Science,6
2998,MSc/MS,Computer Science,MSc/MS Computer Science,7
2999,PhD,Computer Science,PhD Computer Science,8
3000,BA,Computer Science,BA Computer Science,6
3001,BSc/BS,Computer Science,BSc/BS Computer Science,6
3002,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3003,BTech,Computer Science,BTech Computer Science,6
3004,BSc/BS,Computer Science,BSc/BS Computer Science,6
3005,BSc/BS,Business Administration,BSc/BS Business Administration,6
3005,BSc/BS,Computer Science,BSc/BS Computer Science,6
3006,PhD,Computer Science,PhD Computer Science,8
3007,BSc/BS,Computer Science,BSc/BS Computer Science,6
3008,BSc/BS,Computer Science,BSc/BS Computer Science,6
3009,BSc/BS,Computer Science,BSc/BS Computer Science,6
3010,BSc Hons,Computer Science,BSc Hons  Computer Science,6
3011,ME/MEng,Computer Science,ME/MEng Computer Science,7
3012,BSc/BS,Mathematics,BSc/BS Mathematics,6
3012,BSc/BS,Computer Science,BSc/BS Computer Science,6
3013,BE/Beng,Computer Science,BE/Beng Computer Science,6
3014,BSc/BS,Computer Science,BSc/BS Computer Science,6
3015,BSc/BS,Computer Science,BSc/BS Computer Science,6
3016,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
3017,BCA,/,BCA /,6
3017,MCA,/,MCA /,7
3018,BSc/BS,Computer Science,BSc/BS Computer Science,6
3019,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3020,BE/Beng,Computer Science,BE/Beng Computer Science,6
3021,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
3022,BSc/BS,Computer Science,BSc/BS Computer Science,6
3023,BSc/BS,Computer Science,BSc/BS Computer Science,6
3024,BSc/BS,Computer Science,BSc/BS Computer Science,6
3025,BSc/BS,Computer Science,BSc/BS Computer Science,6
3026,BSc/BS,Informatics,BSc/BS Informatics,6
3027,BSc/BS,Computer Science,BSc/BS Computer Science,6
3028,BCA,/,BCA /,6
3029,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3030,BSc/BS,Computer Science,BSc/BS Computer Science,6
3031,MSc/MS,Computer Science,MSc/MS Computer Science,7
3032,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3033,BSc/BS,Computer Science,BSc/BS Computer Science,6
3034,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3035,BE/Beng,Computer Science,BE/Beng Computer Science,6
3036,BSc/BS,Physics,BSc/BS Physics,6
3037,BSc/BS,Computer Science,BSc/BS Computer Science,6
3038,BSc/BS,Computer Science,BSc/BS Computer Science,6
3039,MSc/MS,Computer Science,MSc/MS Computer Science,7
3040,BCA,/,BCA /,6
3041,MSc/MS,Mathematics,MSc/MS Mathematics,7
3041,BSc/BS,Mathematics,BSc/BS Mathematics,6
3042,MSc/MS,Computer Science,MSc/MS Computer Science,7
3043,BSc/BS,Civil Engineering,BSc/BS Civil Engineering,6
3044,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
3045,MSc/MS,Computer Science,MSc/MS Computer Science,7
3045,BSc/BS,Computer Science,BSc/BS Computer Science,6
3046,BE/Beng,Computer Science and Engineering,BE/Beng Computer Science and Engineering,6
3047,BSc/BS,Information Technology,BSc/BS Information Technology,6
3048,BSc/BS,Computer Science,BSc/BS Computer Science,6
